id;question;answer1;answer2;answer3;answer4;timeLife;correctAnswer
14;O que é importante no consumo de energia?;Consumir sem pensar;Deixar aparelhos ligados o tempo todo;Desligar aparelhos quando não usados;Manter aparelhos sempre carregados;30;3
15;Como as práticas de consumo afetam o meio ambiente?;Reduzem a biodiversidade;Melhoram a qualidade do ar;Aumentam o nível dos oceanos;Conservam os ecossistemas;30;1
16;Qual região é mais afetada pelo desmatamento na Amazônia?;Norte;Sul;Leste;Oeste;30;1
17;Como podemos reduzir o impacto ambiental das compras?;Comprar em excesso;Reutilizar e reciclar;Comprar produtos de fontes insustentáveis;Descartar todos os resíduos;30;2
18;Qual é o principal recurso ameaçado pelo desperdício de água?;Energia;Solo;Florestas;Rios e lagos;30;4
19;"O que significa ""ecossistema""?";Local onde diferentes espécies vivem;Apenas um tipo de planta;Conjunto de árvores;Lugar sem vida;30;1
20;Qual ação contribui para o consumo sustentável no dia a dia?;Utilizar embalagens descartáveis;Comprar mais do que precisamos;Reduzir o consumo de energia e água;Evitar produtos reciclados;30;3
21;Quais são os principais componentes do meio ambiente?;Atmosfera, hidrosfera, litosfera e biosfera;Água e ar apenas;Solo e água apenas;Somente seres vivos;30;1
22;O que é biodiversidade?;Variedade de seres vivos em um ambiente;Apenas animais em extinção;Somente plantas e árvores;Recursos naturais do solo;30;1
23;O que são ecossistemas?;Comunidades de seres vivos e seus ambientes;Apenas florestas tropicais;Reservas de água potável;Somente espécies em extinção;30;1
24;Como reduzir a quantidade de lixo não biodegradável?;Reduzir plásticos e reciclar;Descartar no lixo comum;Evitar usar qualquer tipo de material;Jogar em aterros sanitários;30;1
25;O que é aquecimento global?;Aumento da temperatura média da Terra;Aumento da temperatura dos oceanos;Resfriamento dos polos;Mudança no eixo terrestre;30;1
26;Quanto tempo leva uma garrafa plástica para se decompor?;400 a 1.000 anos;10 a 50 anos;2 a 5 semanas;1 a 5 meses;30;1
27;O que são ODS?;Objetivos de Desenvolvimento Sustentável;Organização de Defesa da Sustentabilidade;Opções de Desenvolvimento Sustentado;Objetos de Design Sustentável;30;1
28;O que são energias renováveis?;Fontes que se reabastecem naturalmente;Combustíveis fósseis;Energia nuclear;Energia baseada no carvão;30;1
29;Como ajudar animais em perigo de extinção?;Apoiar projetos de conservação;Não comprar qualquer produto;Criar áreas de desmatamento;Ignorar o problema;30;1
30;Qual prática diária contribui para o meio ambiente?;Plantar árvores e plantas nativas;Usar sacolas plásticas;Não separar o lixo;Usar transporte individual sempre;30;1
31;O que é a pegada ecológica?;Medida de consumo de recursos naturais;Quantidade de carbono emitido;Cálculo de poluição gerada;Uso de terra apenas para plantações;30;1
32;Quanto tempo leva um pano de algodão para se decompor?;1 a 5 meses;2 a 5 semanas;6 meses a 1 ano;10 anos;30;1
33;O que acontece com materiais não biodegradáveis?;Permanecem no ambiente por séculos;São facilmente reciclados;Desaparecem rapidamente;Ajudam a fertilizar o solo;30;1
34;Como as plantas ajudam na sustentabilidade?;Produzem oxigênio e purificam o ar;Poluem os rios;Reduzem áreas verdes;Impedem o crescimento de outros seres vivos;30;1
35;O que podemos fazer para reduzir o desperdício de alimentos?;Planejar refeições e armazenar corretamente;Comprar mais comida do que precisa;Não reaproveitar sobras;Desperdiçar alimentos estragados;30;1
36;O que é biodegradação?;Decomposição por microrganismos;Processo de reciclagem química;Desaparecimento por ação do vento;Fabricação de compostos sintéticos;30;1
37;Quanto tempo leva para uma casca de banana se biodegradar?;2 a 5 semanas;1 ano;6 meses;1 dia;30;1
38;Quanto tempo leva um papel a se biodegradar?;2 a 6 meses;1 semana;1 ano;3 dias;30;1
39;Qual a cor da lixeira usada na coleta seletiva para papel?;Azul;Vermelha;Amarela;Verde;30;1
40;Qual a importância de economizar água e energia no dia a dia?;Preservar recursos naturais;Aumentar a conta de luz;Evitar o uso sustentável;Desperdiçar recursos naturais;30;1
41;Cite dois exemplos de materiais que podem ser reciclados.;Plástico e papel;Vidro e casca de frutas;Metal e restos de comida;Plástico e óleo de cozinha;30;1
42;Quais atitudes podemos ter em casa ou na escola para cuidar do meio ambiente?;Separar o lixo e economizar água;Deixar as luzes acesas;Desperdiçar comida;Jogar lixo nas ruas;30;1
43;Fale um exemplo de atitude sustentável.;Usar sacolas reutilizáveis;Deixar a torneira aberta;Descartar lixo em qualquer lugar;Comprar produtos descartáveis;30;1
44;Qual a cor da lixeira usada na coleta seletiva para plástico?;Amarela;Verde;Vermelha;Azul;30;1
45;Cite alguma ação para reduzir a quantidade de lixo nas ruas.;Jogar lixo em lixeiras;Queimar lixo em casa;Deixar o lixo no chão;Apenas reciclar plástico;30;1
46;Como o descarte do lixo pode afetar os animais e a natureza?;Pode causar poluição e machucar animais;Ajuda a fertilizar o solo;Protege os habitats naturais;Melhora a qualidade da água;30;1
47;Cite dois exemplos de materiais que não podem ser reciclados.;Espelhos e porcelana;Papelão e vidro;Plástico e alumínio;Latas e garrafas PET;30;1
48;Como podemos aproveitar resíduos orgânicos em casa?;Fazendo compostagem;Jogando no lixo comum;Colocando no plástico reciclável;Deixando apodrecer ao ar livre;30;1
49;Qual é uma das principais fontes de energia renovável no Brasil?;Energia solar;Energia nuclear;Energia hidrelétrica;Energia eólica;30;3.
50;Qual é o principal gás responsável pelo aquecimento global?;Dióxido de carbono (CO2);Metano (CH4);Oxigênio (O2);Hidrogênio (H2);30;1
51;Qual é o maior bioma do Brasil em termos de biodiversidade?;Mata atlântica;Amazônia;Pantanal;Cerrado;30;2
52;Qual é a forma correta de descartar o lixo eletrônico?;Queimá-lo em incineradores;Jogá-lo no lixo comum;Reciclar ou encaminhar para pontos de coleta específico;Enviar para o aterro sanitário;30;3
53;O que é Coleta Seletiva do lixo?;É uma tática para poder enterrar o lixo;A separação dos diferentes tipos de resíduos para facilitar sua reciclagem;Um método de coletar todo o lixo juntamente em um único recipiente;Um sistema para incinerar todo o lixo produzido;30;2
54;Qual é a principal vantagem da Compostagem de resíduos orgânicos?;Transformação dos resíduos em nutrientes para o solo;Utilização de mais recursos naturais;Geração de mais resíduos;Não existe nenhuma vantagem na compostagem;30;1
